report_date_as_yyyy_mm_dd,cftc_contract_market_code,market_and_exchange_names,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all,noncomm_net,comm_net,nonrept_net,rsi_noncomm_net,rsi_comm_net,rsi_nonrept_net,ci_noncomm_net,ci_comm_net,ci_nonrept_net,cot_signal
2007-05-29,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2200527,455830,721765,1261355,1274979,455166,175607,-265935,-13624,279559,37.48292279958455,57.83442360763949,52.287724433973885,16.64744644111749,66.30647838870333,65.74420929644307,0
2007-06-05,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2405114,494616,759244,1478461,1436618,399717,176932,-264628,41843,222785,37.64705331470781,61.02522751414028,45.738895342695955,16.915164041040473,90.60656638848633,38.88223867652013,-1
2007-06-12,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2861518,478837,745970,1839955,1719044,442182,295960,-267133,120911,146222,37.444148918539916,65.08167816544989,38.69966395926777,16.402055710660157,100.0,13.923316441785213,-1
2007-06-19,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1577585,388811,431915,962283,988070,214709,145818,-43104,-25787,68891,58.82014866035148,53.87753929003724,33.15026507861026,62.290736807175726,72.44331736639428,0.0,0
2007-06-26,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1642944,390155,475032,967142,980706,261161,162720,-84877,-13564,98441,55.04322278633068,54.579177189712716,36.87526978386092,53.73422012654624,74.73936320090166,10.756798077973135,0
2007-07-03,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1619924,358140,502690,1041395,943840,184193,137198,-144550,97555,46995,50.09474729889533,60.467009521915934,33.387194317873735,41.51118084559434,95.61266084343008,0.0,-1
2007-07-10,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1682680,350879,544207,1128674,941072,172063,166337,-193328,187602,5726,46.42097192162849,64.48474202037102,30.865024589262987,31.51980434288336,100.0,0.0,-1
2007-07-17,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1702051,355023,591822,1119815,929143,200795,154668,-236799,190672,46127,43.36847729834221,64.61677201669687,35.96496267657453,22.615480099385294,100.0,11.957380688124307,-1
2007-07-24,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1787275,342610,640676,1225428,940886,190262,176738,-298066,284542,13524,39.43287843660305,68.47577553446239,33.798202582833426,10.065935956706356,100.0,2.307954125046245,-1
2007-07-31,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1981173,347867,685643,1391592,1109737,203669,147748,-337776,281855,55921,37.08389502117786,68.24632844786098,38.949128774651385,1.9319911266056398,99.61392624223937,14.856085830558637,-1
2007-08-07,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2111980,341914,687186,1466944,1137665,247233,231240,-345272,329279,15993,36.64019078895493,70.14758308039436,36.10037829127971,0.396557975096323,100.0,3.038697743248243,-1
2007-08-14,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2121969,370333,700528,1527630,1202460,186062,181037,-330195,325170,5025,38.24078066726646,69.75785464379311,35.3358272303164,3.484835139624868,99.44526796972667,0.0,-1
2007-08-21,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2085581,329207,707288,1516906,1171344,199527,167008,-378081,345562,32519,35.199342018541415,70.6299469962145,38.83292386717662,0.0,100.0,8.120481073673266,-1
2007-08-28,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2115440,332784,697934,1500344,1172578,221435,184051,-365150,327766,37384,36.664247089275214,68.76626179824234,39.456857599073814,2.491166962706666,97.64914445291353,9.557381503709655,-1
2007-09-04,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2086435,302875,670612,1560435,1171090,149551,171159,-367737,389345,-21608,36.486537151631815,71.56247563214504,34.8188625267865,1.9927794495582518,100.0,0.0,-1
2007-09-11,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2264864,294860,703513,1688139,1204596,208084,282974,-408653,483543,-74890,33.70405419733079,75.2174632241266,31.246310118058403,0.0,100.0,0.0,-1
2007-09-18,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2851893,297650,693183,1951008,1445312,426230,536393,-395533,505696,-110163,35.40512837846747,75.99873790324176,29.116459440523528,2.3869908995971953,100.0,0.0,-1
2007-09-25,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1747463,292818,444251,1042007,1130859,384965,144680,-151433,-88852,240285,57.338020834546114,39.76565932608895,59.01067074800637,46.79739323127977,35.1733387124033,77.23133611304554,0
2007-10-02,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1865981,308356,509548,1122604,1189477,409363,141298,-201192,-66873,268065,53.36055246328056,40.88763358000776,60.43511337795781,37.74447553516263,37.56982341749034,83.35346127061645,0
