report_date_as_yyyy_mm_dd,cftc_contract_market_code,market_and_exchange_names,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all,noncomm_net,comm_net,nonrept_net,rsi_noncomm_net,rsi_comm_net,rsi_nonrept_net,ci_noncomm_net,ci_comm_net,ci_nonrept_net,cot_signal
2007-12-31,88691,GOLD - COMMODITY EXCHANGE INC.,541854,227112,27674,116141,354553,55074,16100,199438,-238412,38974,63.98006348082297,36.00939098749172,55.63883018990475,98.19974942548758,1.0086209618846118,80.66305582248624,1
2008-01-08,88691,GOLD - COMMODITY EXCHANGE INC.,558309,238089,32685,119844,366534,59822,18536,205404,-246690,41286,65.29008907446882,34.35970833439569,58.32429319471275,100.0,0.0,90.7617716432253,1
2008-01-15,88691,GOLD - COMMODITY EXCHANGE INC.,593953,247106,35059,139606,390720,59933,20866,212047,-251114,39067,66.74058697485685,33.477023137351566,54.88980500230529,100.0,0.0,81.06927579278414,1
2008-01-22,88691,GOLD - COMMODITY EXCHANGE INC.,560173,241183,36108,119585,362612,67591,29639,205075,-243027,37952,63.730435827602115,36.67930149310263,53.19475087453262,95.31986305967645,4.827195129230585,76.19900410587927,1
2008-01-29,88691,GOLD - COMMODITY EXCHANGE INC.,522142,237252,31472,121716,366717,64338,25117,205780,-245001,39221,63.90770336896058,36.22095731674032,54.9017110391492,95.79311270725648,3.6488987047096044,81.7419411199441,1
2008-02-05,88691,GOLD - COMMODITY EXCHANGE INC.,495139,234852,31110,113952,355533,55523,17684,203742,-241581,37839,62.94988845477466,37.674082347454,52.64977302318229,94.42505202389742,5.690324121052946,75.70542500218397,1
2008-02-12,88691,GOLD - COMMODITY EXCHANGE INC.,475749,240806,34210,103713,347313,54643,17639,206596,-243600,37004,63.76881582363269,37.13616330743851,51.28112672414224,96.3408740014768,4.485166835790605,72.05818118284266,1
2008-02-19,88691,GOLD - COMMODITY EXCHANGE INC.,489789,251717,39458,104482,357222,58217,17736,212259,-252740,40481,65.4028943029489,34.719364169739706,56.36749466405445,100.0,0.0,87.24556652398007,1
2008-02-26,88691,GOLD - COMMODITY EXCHANGE INC.,495102,250270,40907,104099,356374,64898,21986,209363,-252275,42912,63.81775090759557,34.951303055301125,59.54745252607495,98.05874703382446,0.2748941805197569,97.86406918843366,1
2008-03-04,88691,GOLD - COMMODITY EXCHANGE INC.,486992,240597,44817,100312,340421,65422,21093,195780,-240109,44329,56.85726755909553,40.87062574440524,61.31715086569277,88.95376117762197,7.467071815365697,100.0,0
2008-03-11,88691,GOLD - COMMODITY EXCHANGE INC.,482035,239048,42705,102839,346097,63016,16101,196343,-243258,46915,57.06629037613881,39.85956896711741,64.37977291369742,89.33115255191645,5.60547660148029,100.0,1
2008-03-18,88691,GOLD - COMMODITY EXCHANGE INC.,489055,232427,40418,110087,349215,63958,16839,192009,-239128,47119,54.86271192938635,41.88995015124762,64.61775630573872,86.42597632422142,8.047009860720282,100.0,0
2008-03-25,88691,GOLD - COMMODITY EXCHANGE INC.,452193,214651,38909,104994,311119,59461,29078,175742,-206125,30383,47.45573751907169,54.972138940063104,40.63300946076106,75.52184579909105,27.557402634254768,37.11107770930408,0
2008-04-01,88691,GOLD - COMMODITY EXCHANGE INC.,399393,190958,29680,94901,287969,47890,16100,161278,-193068,31790,42.02302732671885,58.91314192766899,42.56320185621001,65.82630612272257,35.27631298919341,42.39816624079363,0
2008-04-08,88691,GOLD - COMMODITY EXCHANGE INC.,407212,196823,31430,94076,288648,45654,16475,165393,-194572,29179,43.98764371898993,58.280384905383876,39.966348111238894,68.58468179807215,34.387192887039184,32.58680294603938,0
2008-04-15,88691,GOLD - COMMODITY EXCHANGE INC.,422699,202910,30933,96173,301285,48933,15798,171977,-205112,33135,47.07769472745267,53.910447804432245,45.401685763003464,72.99808287863146,28.15625812859136,47.4522771681948,0
2008-04-22,88691,GOLD - COMMODITY EXCHANGE INC.,424218,201865,34242,101648,301247,45502,13526,167623,-199599,31976,45.29800549868768,55.7782082530601,44.14077724602827,70.07950020779987,31.41537988602237,43.09709905305877,0
2008-04-29,88691,GOLD - COMMODITY EXCHANGE INC.,429670,194844,34196,107519,293001,51072,26238,160648,-185482,24834,42.5246220671054,60.22335351011719,37.27151977417697,65.40400316392058,39.76093073848991,16.259582143393956,0
2008-05-06,88691,GOLD - COMMODITY EXCHANGE INC.,433741,192719,36752,114554,297282,47097,20336,155967,-182728,26761,40.72265823989009,61.045990052923266,39.985296034860504,62.26622514780603,41.3890136915037,23.500676386592513,0
2008-05-13,88691,GOLD - COMMODITY EXCHANGE INC.,439636,197809,44871,121605,299202,46190,21531,152938,-177597,24659,39.55464330960935,62.598010018031665,38.05147427950492,60.23581933477229,44.42230840171203,15.601984067338043,0
2008-05-20,88691,GOLD - COMMODITY EXCHANGE INC.,453084,216324,34205,108853,324034,51815,18753,182119,-215181,33062,53.41671071938274,47.62875911133827,48.7270390403487,79.79649019318684,22.20376457234742,47.17796482789719,0
2008-05-27,88691,GOLD - COMMODITY EXCHANGE INC.,430961,220954,29442,92239,310524,51587,24814,191512,-218285,26773,56.847249836283254,46.636849403602014,42.78442531635918,86.09282621227761,20.36877202109296,23.54576882609349,0
2008-06-03,88691,GOLD - COMMODITY EXCHANGE INC.,398441,200544,30333,92556,294727,45366,13406,170211,-202171,31960,48.1817241336629,52.202023044767934,48.37651509553962,71.81429394967222,29.894889924093736,43.036975800390806,0
2008-06-10,88691,GOLD - COMMODITY EXCHANGE INC.,396392,189175,37927,94287,277368,46473,14640,151248,-183081,31833,42.03815390134372,57.81487799005478,48.25216422658594,59.10297488973201,41.18033058242096,42.55974748233879,0
2008-06-17,88691,GOLD - COMMODITY EXCHANGE INC.,390471,180637,29447,96068,279508,46157,13907,151190,-183440,32250,42.02050549903944,57.677709136334876,48.71828004819708,59.06409620463595,40.968100451654095,44.12670975499775,0
